회차년도,회차,검체명,검사명,제조사,Unacceptable rate
2025,01,CU-25-02,-Bilirubin,Eiken,0
2025,01,CU-25-02,-Bilirubin,Others,2.5
2025,01,CU-25-02,-Bilirubin,Roche,0.56
2025,01,CU-25-02,-Bilirubin,Siemens Healthineers,0
2025,01,CU-25-02,-Bilirubin,Sysmex,0.6
2025,01,CU-25-02,-Bilirubin,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-02,-Bilirubin,YD diagnostics,0.15
2025,01,CU-25-02,-Bilirubin,㈜디에프아이,1.89
2025,01,CU-25-02,-Bilirubin,청도제약,0
2025,01,CU-25-03,-Bilirubin,,0
2025,01,CU-25-03,-Bilirubin,Abbott,0
2025,01,CU-25-03,-Bilirubin,Arkray Inc,0
2025,01,CU-25-03,-Bilirubin,Beckman Coulter Inc.,0
2025,01,CU-25-03,-Bilirubin,Eiken,0
2025,01,CU-25-03,-Bilirubin,Others,2.5
2025,01,CU-25-03,-Bilirubin,Roche,0
2025,01,CU-25-03,-Bilirubin,Siemens Healthineers,0.84
2025,01,CU-25-03,-Bilirubin,Sysmex,0
2025,01,CU-25-03,-Bilirubin,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-03,-Bilirubin,YD diagnostics,0.44
2025,01,CU-25-03,-Bilirubin,㈜디에프아이,0.63
2025,01,CU-25-03,-Bilirubin,청도제약,0
2025,01,CU-25-01,-Blood,Abbott,1.19
2025,01,CU-25-01,-Blood,Arkray Inc,0
2025,01,CU-25-01,-Blood,Beckman Coulter Inc.,0
2025,01,CU-25-01,-Blood,Eiken,0
2025,01,CU-25-01,-Blood,Others,2.27
2025,01,CU-25-01,-Blood,Roche,0
2025,01,CU-25-01,-Blood,Siemens Healthineers,0
2025,01,CU-25-01,-Blood,Sysmex,0
2025,01,CU-25-01,-Blood,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-01,-Blood,YD diagnostics,0.85
2025,01,CU-25-01,-Blood,㈜디에프아이,0.61
2025,01,CU-25-01,-Blood,청도제약,0
2025,01,CU-25-02,-Blood,Abbott,0.99
2025,01,CU-25-02,-Blood,Arkray Inc,0
2025,01,CU-25-02,-Blood,Beckman Coulter Inc.,0
2025,01,CU-25-02,-Blood,Eiken,0
2025,01,CU-25-02,-Blood,Others,4.55
2025,01,CU-25-02,-Blood,Roche,0.56
2025,01,CU-25-02,-Blood,Siemens Healthineers,0
2025,01,CU-25-02,-Blood,Sysmex,0.6
2025,01,CU-25-02,-Blood,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-02,-Blood,YD diagnostics,0.71
2025,01,CU-25-02,-Blood,㈜디에프아이,2.44
2025,01,CU-25-02,-Blood,청도제약,0
2025,01,CU-25-03,-Blood,Abbott,0.2
2025,01,CU-25-03,-Blood,Arkray Inc,0
2025,01,CU-25-03,-Blood,Beckman Coulter Inc.,0
2025,01,CU-25-03,-Blood,Eiken,0
2025,01,CU-25-03,-Blood,Others,2.27
2025,01,CU-25-03,-Blood,Roche,0
2025,01,CU-25-03,-Blood,Siemens Healthineers,0
2025,01,CU-25-03,-Blood,Sysmex,0
2025,01,CU-25-03,-Blood,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-03,-Blood,YD diagnostics,0.42
2025,01,CU-25-03,-Blood,㈜디에프아이,0.61
2025,01,CU-25-03,-Blood,청도제약,0
2025,01,CU-25-01,-Urobilinogen,,0
2025,01,CU-25-01,-Urobilinogen,Abbott,0.2
2025,01,CU-25-01,-Urobilinogen,Arkray Inc,0
2025,01,CU-25-01,-Urobilinogen,Beckman Coulter Inc.,0
2025,01,CU-25-01,-Urobilinogen,Eiken,0
