"기관코드","기관명","검체명","검사명","rslt","제조사명","정답","기준SDI","세부SDI"
"1000002738","동안비전내과의원","CU-25-03","-Protein","4+","㈜디에프아이","1+, 2+, 3+","",""
"1000002756","히즈메디 병원","CU-25-03","-pH","5.5","YD diagnostics","6.0, 6.5, 7.0","",""
"1000002777","힐의료재단센텀힐병원","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000002823","연세아란산부인과의원","CU-25-03","-Glucose","-","YD diagnostics","2+, 3+, 4+","",""
"1000002842","다윗365내과","CU-25-03","-Protein","4+","㈜디에프아이","1+, 2+, 3+","",""
"1000002851","속시원내과의원","CU-25-03","-Protein","1+","Others","2+, 3+, 4+","",""
"1000002912","System.Xml.XmlElement","CU-25-03","-Glucose","-","Abbott","2+, 3+, 4+","",""
"1000002915","경상북도립노인전문요양병원","CU-25-03","-pH","6.0","Siemens Healthineers","6.5, 7.0, 7.5","",""
"1000002927","연세김창훈내과의원","CU-25-03","-Glucose","1+","Abbott","2+, 3+, 4+","",""
"1000002958","유앤제이병원","CU-25-03","-Protein","1+","YD diagnostics","2+, 3+, 4+","",""
"1000002975","청학의원","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000002977","경주센텀병원","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000002980","창아의료재단 푸른요양병원","CU-25-03","-Protein","4+","㈜디에프아이","1+, 2+, 3+","",""
"1000002988","정다운병원","CU-25-03","-Glucose","1+","㈜디에프아이","2+, 3+, 4+","",""
"1000002989","아폴로헬스케어의원","CU-25-03","-Protein","1+","청도제약","2+, 3+, 4+","",""
"1000002991","안산중앙내과의원","CU-25-03","-Glucose","±","YD diagnostics","2+, 3+, 4+","",""
"1000003070","의료법인 인산의료재단 자인플러스병원","CU-25-03","-Glucose","-","YD diagnostics","2+, 3+, 4+","",""
"1000003126","거창중앙메디컬병원","CU-25-03","-Protein","4+","㈜디에프아이","1+, 2+, 3+","",""
"1000003150","류마장구본승내과","CU-25-03","-Protein","1+","Others","2+, 3+, 4+","",""
"1000003200","인천 옹진군보건소","CU-25-03","-Protein","1+","YD diagnostics","2+, 3+, 4+","",""
"1000003248","목화병원","CU-25-03","-Protein","-","Others","2+, 3+, 4+","",""
"1000003592","굿프라임메디컬의원","CU-25-03","-pH","5.0","㈜디에프아이","6.0, 6.5, 7.0","",""
"1000003596","최강식내과의원","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000003622","System.Xml.XmlElement","CU-25-03","-pH","8.0","YD diagnostics","6.0, 6.5, 7.0","",""
"1000003626","경대연합속내과","CU-25-03","-Protein","1+","Others","2+, 3+, 4+","",""
"100000P098","양구군보건소","CU-25-03","-pH","5.0","YD diagnostics","6.0, 6.5, 7.0","",""
"1000000150","해군포항병원","CU-25-03","-Ketone","3+","Arkray Inc","±, 1+, 2+","",""
"1000000298","근로복지공단 대전병원","CU-25-03","-Ketone","3+","Siemens Healthineers","±, 1+, 2+","",""
"1000000440","한국한센복지협회","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000000515","강남병원","CU-25-03","-Ketone","-","Siemens Healthineers","±, 1+, 2+","",""
"1000000585","광화문헬스케어의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000000653","(의)용인서울병원","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000000661","윤호21병원","CU-25-03","-Blood","-","Abbott","2+, 3+","",""
"1000000692","강남헬스케어의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000000708","구리백내과","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000000742","대한산업보건협회 경북지부","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000000764","광주헬스케어의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000000765","대구헬스케어의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000000766","대전헬스케어의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000000767","반도정형외과병원","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000000788","녹향의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000000804","인구보건복지협회 경기도지회","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000000833","고운숨결내과의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000001026","서울지방병무청2","CU-25-03","-Ketone","3+","Arkray Inc","±, 1+, 2+","",""
"1000001117","창동제일의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000001212","성문의원","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000001231","혜화영상의학과","CU-25-03","-Bilirubin","-","YD diagnostics","2+, 3+","",""
"1000001239","연세하나내과소아과의원","CU-25-03","-Blood","-","YD diagnostics","2+, 3+","",""
