id,testItem,specimenName,baseCategory,detailCategory,n,mean,median,sd,cv,min,max,decimalPlaces
"urine-stat-row-69","-Specific Gravity","CU-25-02","Abbott","UroMeter720","338","1.0059","1.005","0.0000","0","1","1.025","3"
"urine-stat-row-70","-Specific Gravity","CU-25-02","Arkray Inc","","5","1.0052","1.005","0.0010","0.0952","1.003","1.007","3"
"urine-stat-row-71","-Specific Gravity","CU-25-02","Arkray Inc","Aution max AX-4030","4","1.005","1.005","0.0016","0.1625","1.003","1.007","3"
"urine-stat-row-72","-Specific Gravity","CU-25-02","Arkray Inc","Aution max AX-4060","1","1.006","1.006","","","","","3"
"urine-stat-row-73","-Specific Gravity","CU-25-02","Beckman Coulter Inc.","","2","1.005","","0.0000","0","1.005","1.005","3"
"urine-stat-row-74","-Specific Gravity","CU-25-02","Beckman Coulter Inc.","iChem Velocity","2","1.005","","0.0000","0","1.005","1.005","3"
"urine-stat-row-75","-Specific Gravity","CU-25-02","Eiken","","9","1.0033","1","0.0026","0.2583","1","1.015","3"
"urine-stat-row-76","-Specific Gravity","CU-25-02","Eiken","Us 1000","1","1.005","1.005","","","","","3"
"urine-stat-row-77","-Specific Gravity","CU-25-02","Eiken","Us 2100R","7","1.0029","1","0.0020","0.204","1","1.015","3"
"urine-stat-row-78","-Specific Gravity","CU-25-02","Eiken","Us 2200R","1","1.005","1.005","","","","","3"
"urine-stat-row-79","-Specific Gravity","CU-25-02","Others","","40","1.013","1.01","0.0058","0.5713","1.005","1.025","3"
"urine-stat-row-80","-Specific Gravity","CU-25-02","Others","육안판독","20","1.0152","1.015","0.0051","0.5046","1.008","1.025","3"
"urine-stat-row-81","-Specific Gravity","CU-25-02","Others","Others","20","1.0108","1.01","0.0033","0.3292","1.005","1.025","3"
"urine-stat-row-82","-Specific Gravity","CU-25-02","Roche","","179","1.0032","1.01","0.0020","0.1987","0.01","1.015","3"
"urine-stat-row-83","-Specific Gravity","CU-25-02","Roche","육안판독","2","1.0075","","0.0035","0.3509","1.005","1.01","3"
"urine-stat-row-84","-Specific Gravity","CU-25-02","Roche","cobas 6500(u601)","53","1.0079","1.008","0.0007","0.0669","1.006","1.011","3"
"urine-stat-row-85","-Specific Gravity","CU-25-02","Roche","cobas u 411","121","1.001","1.01","0.0032","0.3211","0.01","1.015","3"
"urine-stat-row-86","-Specific Gravity","CU-25-02","Roche","Others","2","1.0075","","0.0035","0.3509","1.005","1.01","3"
"urine-stat-row-87","-Specific Gravity","CU-25-02","Roche","Urisys 1800","1","1.005","1.005","","","","","3"
"urine-stat-row-88","-Specific Gravity","CU-25-02","Siemens Healthineers","","119","1.0093","1.008","0.0014","0.1421","1.005","1.02","3"
"urine-stat-row-89","-Specific Gravity","CU-25-02","Siemens Healthineers","Clinitek 500  Urine Chemistry Analyzer","1","1.01","1.01","","","","","3"
"urine-stat-row-90","-Specific Gravity","CU-25-02","Siemens Healthineers","CLINITEK Advantus® Urine Chemistry Analyzer","55","1.0109","1.01","0.0000","0","1.005","1.015","3"
"urine-stat-row-91","-Specific Gravity","CU-25-02","Siemens Healthineers","CLINITEK Novus™ Automated Urine Chemistry Analyzer","59","1.0074","1.007","0.0006","0.0618","1.005","1.009","3"
"urine-stat-row-92","-Specific Gravity","CU-25-02","Siemens Healthineers","CLINITEK Status® Urine Chemistry Analyzer","1","1.02","1.02","","","","","3"
"urine-stat-row-93","-Specific Gravity","CU-25-02","Siemens Healthineers","CLINITEK Status®+ Urine Chemistry Analyzer","3","1.015","1.015","0.0000","0","1.015","1.015","3"
"urine-stat-row-94","-Specific Gravity","CU-25-02","Sysmex","","167","1.0068","1.007","0.0007","0.0686","1.003","1.01","3"
"urine-stat-row-95","-Specific Gravity","CU-25-02","Sysmex","UC-1000","1","1.007","1.007","","","","","3"
"urine-stat-row-96","-Specific Gravity","CU-25-02","Sysmex","UC-3500","166","1.0068","1.007","0.0007","0.0688","1.003","1.01","3"
"urine-stat-row-97","-Specific Gravity","CU-25-02","URIT Medical Electronic Co., Ltd.","","3","1.01","1.01","0.0000","0","1.01","1.01","3"
"urine-stat-row-98","-Specific Gravity","CU-25-02","URIT Medical Electronic Co., Ltd.","URIT-50","3","1.01","1.01","0.0000","0","1.01","1.01","3"
"urine-stat-row-99","-Specific Gravity","CU-25-02","YD diagnostics","","651","1.0112","1.015","0.0039","0.3863","0.015","1.025","3"
"urine-stat-row-100","-Specific Gravity","CU-25-02","YD diagnostics","육안판독","58","1.0182","1.02","0.0044","0.428","1.005","1.025","3"
"urine-stat-row-101","-Specific Gravity","CU-25-02","YD diagnostics","Uriscan optima","85","1.0132","1.015","0.0034","0.3331","1.005","1.025","3"
"urine-stat-row-102","-Specific Gravity","CU-25-02","YD diagnostics","URiSCAN OPTIMA+","3","1.0133","1.015","0.0029","0.2849","1.01","1.015","3"
"urine-stat-row-103","-Specific Gravity","CU-25-02","YD diagnostics","URiSCAN OPTIMAII","14","1.015","1.015","0.0000","0","1.01","1.02","3"
"urine-stat-row-104","-Specific Gravity","CU-25-02","YD diagnostics","Uriscan pro","382","1.0102","1.015","0.0034","0.3332","0.015","1.025","3"
